play_id,PlayOfGame,yardline_100,game_seconds_remaining,drive,qtr,down,ydstogo,yards_gained,shotgun,no_huddle,qb_dropback,Run To Left,Run To Right,Run Gap Center,Run Gap End,Run Gap Middle Right,score_differential_post
269,3,95,3397,2,1,2,15,4,1,0,0,0,0,1,0,0,0
486,6,99,3230,4,1,1,10,6,1,0,0,0,1,0,0,0,0
675,12,66,3099,6,1,1,10,6,0,0,0,0,0,1,0,0,0
697,13,60,3070,6,1,2,4,3,1,0,0,0,0,1,0,0,0
718,14,57,3030,6,1,3,1,0,1,0,0,0,0,1,0,0,0
1070,17,84,2642,8,2,1,10,2,1,0,0,0,1,0,1,0,-3
1760,29,75,2018,12,2,1,10,1,1,0,0,0,1,0,1,0,-17
1781,30,74,1992,12,2,2,9,2,1,1,0,0,1,0,1,0,-17
1988,36,8,1900,13,2,1,8,7,1,0,0,1,0,0,1,0,-17
2378,41,82,1815,15,2,1,10,5,1,0,0,0,1,0,0,0,-14
2698,47,76,1544,18,3,1,10,3,1,0,0,0,1,0,0,0,-14
2947,51,66,1332,20,3,1,10,18,1,0,0,0,0,1,0,0,-14
2990,53,48,1302,20,3,2,10,3,1,0,0,0,0,1,0,0,-14
3626,65,37,807,22,4,1,10,4,1,1,0,0,0,1,0,0,-18
3671,67,29,738,22,4,3,2,12,0,1,0,0,1,0,1,0,-18
3694,68,17,707,22,4,1,10,1,1,1,0,1,0,0,1,0,-18
4635,87,38,105,26,4,2,10,9,1,0,0,0,0,1,0,0,-8
4656,88,29,100,26,4,3,1,10,1,0,0,0,0,1,0,0,-8
4709,89,19,71,26,4,1,10,3,1,1,0,0,1,0,1,0,-8
5032,96,75,600,28,5,1,10,7,1,0,0,0,0,1,0,0,0
5146,101,8,478,28,5,2,8,-2,1,0,0,0,1,0,1,0,0
5552,108,61,168,30,5,1,10,5,1,1,0,0,0,1,0,0,0
5664,112,49,113,30,5,1,10,3,1,1,0,0,0,1,0,0,0
51,2,75,3600,1,1,1,10,7,1,0,1,0,1,0,1,0,0
72,3,68,3577,1,1,2,3,3,1,1,0,1,0,0,0,1,0
432,10,77,3174,3,1,2,10,2,1,0,0,0,1,0,0,1,-7
453,11,75,3135,3,1,3,8,0,1,0,0,0,0,1,0,0,-7
678,16,13,2912,5,1,1,10,2,1,1,0,0,1,0,0,1,-7
1267,29,38,2488,7,2,2,6,-3,1,1,0,0,1,0,1,0,-7
1312,31,10,2414,7,2,1,10,2,1,1,0,1,0,0,0,1,-7
1735,37,94,2029,9,2,1,10,4,1,0,0,0,1,0,0,0,-11
2334,48,83,1668,13,3,1,10,3,1,0,0,0,1,0,0,1,-11
2383,50,40,1605,13,3,1,10,-1,1,1,0,0,1,0,0,1,-11
3307,65,1,774,15,4,1,1,1,1,0,0,0,0,1,0,0,-5
331,2,68,3325,2,1,2,4,0,1,0,0,0,0,1,0,0,0
352,3,68,3299,2,1,3,4,7,1,0,1,1,0,0,1,0,0
407,5,61,3239,2,1,2,10,12,1,0,0,0,1,0,1,0,0
433,6,49,3215,2,1,1,10,15,1,0,0,1,0,0,0,0,0
476,8,34,3189,2,1,2,10,9,1,0,0,0,0,1,0,0,0
598,13,4,3010,2,1,2,4,3,1,0,0,0,0,1,0,0,0
1063,18,58,2633,4,2,1,10,0,1,0,0,0,1,0,0,0,0
1084,19,58,2602,4,2,2,10,2,1,0,0,0,0,1,0,0,0
1129,21,46,2550,4,2,1,10,1,1,1,1,0,0,1,0,0,0
1505,30,49,2103,6,2,3,1,1,1,0,0,0,0,1,0,0,0
1548,32,48,2064,6,2,2,10,8,1,0,0,1,0,0,0,0,0
1580,33,25,2047,6,2,1,10,2,1,0,0,1,0,0,1,0,0
1635,35,16,1979,6,2,3,1,1,1,0,0,1,0,0,1,0,0
2350,56,20,1623,10,3,3,1,17,1,1,0,1,0,0,1,0,-4
2677,60,79,1357,12,3,1,10,4,1,0,0,0,1,0,0,0,-4
2722,62,70,1301,12,3,3,1,4,1,1,0,0,0,1,0,0,-4
2743,63,66,1273,12,3,1,10,20,1,1,1,0,0,1,0,0,-4
2769,64,46,1243,12,3,1,10,5,1,1,0,0,0,1,0,0,-4
2836,67,37,1174,12,3,4,1,2,0,0,0,0,0,1,0,0,-4
3093,73,75,1013,14,3,1,10,1,1,0,0,0,0,1,0,0,-8
3407,77,67,795,16,4,2,2,2,1,1,0,0,0,1,0,0,-15
4129,91,86,231,22,4,2,21,5,1,0,0,0,0,1,0,0,-18
51,2,75,3600,1,1,1,10,8,1,0,0,1,0,0,1,0,0
72,3,67,3568,1,1,2,2,5,1,0,0,0,0,1,0,0,0
184,8,39,3402,1,1,2,4,7,1,1,0,0,0,1,0,0,0
205,9,32,3368,1,1,1,10,5,1,1,0,1,0,0,1,0,0
704,17,75,2955,4,1,1,10,5,0,0,0,1,0,0,1,0,-10
736,18,80,2934,4,1,1,15,4,1,0,0,0,0,1,0,0,-10
810,21,63,2823,4,1,1,10,6,0,0,0,1,0,0,1,0,-10
855,23,51,2750,4,1,1,10,0,1,1,0,0,0,1,0,0,-10
917,25,20,2700,4,2,1,10,1,1,0,0,0,0,1,0,0,-10
977,28,19,2660,4,2,3,9,4,1,0,1,1,0,0,1,0,-10
1319,32,47,2406,6,2,1,10,0,1,1,0,0,0,1,0,0,-14
1340,33,47,2371,6,2,2,10,15,1,1,1,0,0,1,0,0,-14
1391,35,40,2299,6,2,2,18,10,1,0,0,0,0,1,0,0,-14
1624,38,94,2115,8,2,1,10,4,1,0,0,0,0,1,0,0,-14
2595,49,76,1263,14,3,1,10,5,0,0,0,0,0,1,0,0,-17
2616,50,71,1237,14,3,2,5,2,1,1,0,1,0,0,0,0,-17
2661,52,60,1169,14,3,1,10,1,1,1,0,0,0,1,0,0,-17
2722,54,69,1108,14,3,2,19,2,1,0,0,0,0,1,0,0,-17
3039,58,72,787,16,4,2,2,3,1,0,0,0,0,1,0,0,-17
3235,65,15,657,16,4,1,10,6,0,0,0,0,1,0,0,0,-17
3256,66,9,627,16,4,2,4,9,1,0,0,0,0,1,0,0,-11
4065,74,36,75,18,4,2,10,14,1,0,0,0,0,1,0,0,-17
60,2,77,3596,1,1,1,10,3,1,0,0,1,0,0,1,0,0
434,7,68,3202,3,1,1,10,11,1,0,0,0,1,0,1,0,-3
486,9,62,3161,3,1,1,15,9,0,0,0,0,1,0,1,0,-3
612,13,14,3060,3,1,1,10,5,1,0,0,0,1,0,0,0,-3
656,15,14,3013,3,1,2,10,1,1,0,0,0,1,0,0,0,-3
